SNo,Pair,Date,Session,Day,Direction,Entry_Price,SL_Price,TP_Price,Exit_Price,SL_Pips,Lot_Size,Account_Balance,Risk_Amount,RR,PnL,TP_Hit,Result,Trade_Duration
1,USDCAD,2021-01-04,London,Monday,Sell,1.29561,1.2963,1.29388,1.29627,6.9,3.19,99842.56,169.48,0.93,-157.44,SL Hit,Loss,27m
2,XAUUSD,2021-01-04,London,Monday,Sell,2023.72,2023.82,2023.43,2023.43,9.8,1.32,100196.56,129.36,2.96,354.0,TP1 (1:3),Win,2h 30m
3,XAUUSD,2021-01-04,London,Monday,Sell,2029.98,2030.09,2029.71,2030.09,10.9,1.32,100074.01,143.88,0.92,-122.55,SL Hit,Loss,48m
4,XAUUSD,2021-01-04,New York,Monday,Sell,2038.48,2038.64,2038.07,2038.64,16.4,1.83,99789.5,300.12,0.95,-284.51,SL Hit,Loss,1h 22m
5,EURUSD,2021-01-04,London,Monday,Buy,1.10936,1.10884,1.11096,1.11093,5.2,2.45,100182.63,127.4,3.08,393.13,TP1 (1:3),Win,2h 30m
6,XAUUSD,2021-01-04,New York,Monday,Buy,2043.22,2043.09,2043.61,2043.61,12.7,1.34,100701.67,170.18,3.05,519.04,TP1 (1:3),Win,3h 40m
7,EURUSD,2021-01-04,New York,Monday,Sell,1.03841,1.03949,1.03533,1.03535,10.8,1.67,101216.56,180.36,2.85,514.89,TP1 (1:3),Win,6h 10m
8,XAUUSD,2021-01-04,New York,Monday,Sell,2052.89,2052.98,2052.62,2052.62,9.0,1.85,101717.01,166.5,3.0,500.45,TP1 (1:3),Win,2h 30m
9,EURGBP,2021-01-04,New York,Monday,Buy,0.85095,0.84963,0.85491,0.85095,13.2,1.32,101717.01,167.86,0.0,0.0,BE,,1h 10m
10,EURGBP,2021-01-04,London,Monday,Buy,0.88432,0.88318,0.88802,0.888,11.4,1.32,102111.99,195.62,3.25,394.98,TP1 (1:3),Win,2h 30m
11,XAUUSD,2021-01-04,New York,Monday,Sell,1946.41,1946.56,1945.97,1945.97,15.0,1.32,102493.95,198.0,2.92,381.96,TP1 (1:3),Win,2h 30m
12,XAUUSD,2021-01-05,London,Tuesday,Buy,2053.78,2053.72,2053.98,2053.78,6.5,2.57,102493.95,167.0,0.0,0.0,BE,,2h 5m
13,XAUUSD,2021-01-05,New York,Tuesday,Buy,1816.22,1816.17,1816.36,1816.17,5.4,2.95,102341.27,159.3,0.96,-152.68,SL Hit,Loss,58m
14,EURUSD,2021-01-05,New York,Tuesday,Buy,1.03197,1.03095,1.03452,1.03096,10.2,1.35,102208.7,137.7,0.96,-132.57,SL Hit,Loss,18m
15,EURGBP,2021-01-05,London,Tuesday,Buy,0.83904,0.83763,0.84257,0.83764,14.1,1.32,102042.56,241.96,0.91,-166.14,SL Hit,Loss,40m
16,GBPUSD,2021-01-05,New York,Tuesday,Sell,1.21745,1.21915,1.21235,1.21745,17.0,1.32,102042.56,136.92,0.0,0.0,BE,,3h 0m
17,USDCAD,2021-01-05,London,Tuesday,Sell,1.26665,1.26757,1.26435,1.26757,9.2,2.08,101902.33,147.35,0.95,-140.23,SL Hit,Loss,48m
18,USDCAD,2021-01-05,New York,Tuesday,Buy,1.21913,1.21867,1.2205,1.22048,4.6,3.53,102274.78,125.03,2.98,372.45,TP1 (1:3),Win,3h 40m
19,EURGBP,2021-01-05,New York,Tuesday,Sell,0.8683,0.86901,0.86652,0.86899,7.1,1.68,102132.14,155.06,0.92,-142.64,SL Hit,Loss,27m
20,XAUUSD,2021-01-05,London,Tuesday,Buy,2002.01,2001.84,2002.43,2001.84,16.9,1.32,101981.48,223.08,0.99,-150.66,SL Hit,Loss,35m
21,EURUSD,2021-01-05,New York,Tuesday,Buy,1.0715,1.07064,1.07365,1.07065,8.6,1.68,101844.01,144.48,0.95,-137.47,SL Hit,Loss,22m
22,USDCAD,2021-01-06,London,Wednesday,Buy,1.20759,1.20665,1.21041,1.20759,9.4,2.05,101844.01,148.6,0.0,0.0,BE,,45m
23,GBPUSD,2021-01-06,London,Wednesday,Sell,1.22194,1.22306,1.21914,1.22303,11.2,1.36,101698.93,152.32,0.95,-145.08,SL Hit,Loss,32m
24,EURGBP,2021-01-06,New York,Wednesday,Sell,0.8419,0.84241,0.84045,0.8405,5.1,2.65,102197.25,175.69,2.84,498.32,TP1 (1:3),Win,3h 22m
25,EURUSD,2021-01-06,London,Wednesday,Buy,1.05075,1.04929,1.0544,1.04931,14.6,1.32,102028.88,192.72,0.95,-168.37,SL Hit,Loss,55m
26,USDCAD,2021-01-06,New York,Wednesday,Sell,1.22358,1.22492,1.2194,1.21945,13.4,1.35,102463.92,139.29,3.12,435.04,TP1 (1:3),Win,3h 40m
27,EURUSD,2021-01-06,New York,Wednesday,Sell,1.0611,1.06164,1.05952,1.05954,5.4,2.83,102910.98,152.82,2.93,447.06,TP1 (1:3),Win,3h 40m
28,GBPUSD,2021-01-06,New York,Wednesday,Sell,1.22538,1.22641,1.22233,1.22235,10.3,1.32,103295.01,135.96,2.96,384.03,TP1 (1:3),Win,5h 30m
29,XAUUSD,2021-01-06,London,Wednesday,Sell,1830.69,1830.75,1830.55,1830.75,5.6,2.93,103139.05,164.08,0.95,-155.96,SL Hit,Loss,32m
30,USDCAD,2021-01-07,New York,Thursday,Buy,1.23984,1.23827,1.24377,1.23828,15.7,1.32,102982.55,159.57,0.99,-156.5,SL Hit,Loss,48m
31,XAUUSD,2021-01-07,London,Thursday,Sell,2086.13,2086.21,2085.94,2086.21,7.7,2.16,102829.76,166.32,0.92,-152.79,SL Hit,Loss,45m
32,XAUUSD,2021-01-07,London,Thursday,Sell,1926.72,1926.85,1926.4,1926.85,12.6,1.32,102701.18,166.32,0.92,-128.58,SL Hit,Loss,1h 5m
33,GBPUSD,2021-01-07,New York,Thursday,Buy,1.29106,1.29015,1.29334,1.29017,9.1,1.93,102538.21,175.63,0.93,-162.97,SL Hit,Loss,12m
34,GBPUSD,2021-01-07,London,Thursday,Buy,1.30814,1.3068,1.31149,1.30681,13.4,1.32,102395.26,176.88,0.97,-142.95,SL Hit,Loss,1h 22m
35,EURUSD,2021-01-07,New York,Thursday,Sell,1.04877,1.05036,1.04479,1.05034,15.9,1.32,102233.13,209.88,0.92,-162.13,SL Hit,Loss,27m
36,XAUUSD,2021-01-07,London,Thursday,Sell,1914.42,1914.48,1914.22,1914.22,6.0,1.85,102595.86,111.0,3.27,362.73,TP1 (1:3),Win,2h 15m
37,EURUSD,2021-01-07,London,Thursday,Sell,1.08284,1.08437,1.07902,1.08436,15.3,1.32,102470.29,201.96,0.97,-125.57,SL Hit,Loss,1h 5m
38,XAUUSD,2021-01-07,London,Thursday,Sell,1926.14,1926.22,1925.95,1926.22,7.7,2.06,102319.53,158.62,0.95,-150.76,SL Hit,Loss,1h 5m
39,USDCAD,2021-01-07,New York,Thursday,Sell,1.25523,1.25671,1.25153,1.25668,14.8,1.32,102183.4,150.43,0.93,-136.13,SL Hit,Loss,48m
40,GBPUSD,2021-01-08,New York,Friday,Sell,1.21994,1.2207,1.21804,1.2207,7.6,2.02,102040.72,153.52,0.93,-142.68,SL Hit,Loss,40m
41,GBPUSD,2021-01-08,London,Friday,Buy,1.25515,1.25473,1.2562,1.25473,4.2,3.25,101907.02,136.5,0.98,-133.7,SL Hit,Loss,12m
42,USDCAD,2021-01-08,London,Friday,Buy,1.23438,1.23359,1.23636,1.23361,7.9,2.68,101747.53,163.02,0.98,-159.49,SL Hit,Loss,32m
43,XAUUSD,2021-01-08,New York,Friday,Buy,2040.48,2040.42,2040.64,2040.42,6.4,2.17,101615.38,138.88,0.95,-132.15,SL Hit,Loss,12m
44,XAUUSD,2021-01-08,New York,Friday,Sell,1926.92,1927.05,1926.52,1926.92,13.3,1.32,101615.38,149.7,0.0,0.0,BE,,45m
45,EURUSD,2021-01-08,New York,Friday,Buy,1.11822,1.11681,1.12174,1.11683,14.1,1.32,101490.39,186.12,0.97,-124.99,SL Hit,Loss,58m
46,XAUUSD,2021-01-08,New York,Friday,Buy,2056.22,2056.06,2056.72,2056.72,15.7,1.32,101923.78,207.24,3.17,433.39,TP1 (1:3),Win,1h 2m
47,GBPUSD,2021-01-08,London,Friday,Sell,1.25409,1.25573,1.24999,1.2557,16.4,1.32,101763.0,216.48,0.97,-160.78,SL Hit,Loss,32m
48,GBPUSD,2021-01-11,London,Monday,Buy,1.30101,1.30028,1.30283,1.3003,7.3,2.37,101593.28,173.01,0.98,-169.72,SL Hit,Loss,1h 5m
49,GBPUSD,2021-01-11,New York,Monday,Buy,1.24563,1.24505,1.24708,1.24506,5.8,2.32,101471.03,134.56,0.91,-122.25,SL Hit,Loss,27m
